"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"226","81361.70588235294","55828","128546","44.450980392156865","17","106"
"227","81474.88235294117","55936","128620","46.31372549019608","15","122"
"228","81665.92156862745","56069","128692","80.88235294117646","15","816"
"229","81771.74509803922","56285","128778","43.03921568627451","16","123"
"230","81881.58823529411","56422","129118","44.8235294117647","16","147"
"231","82029.27450980392","56492","129194","61.64705882352941","18","885"
"232","82133.7843137255","56587","129408","42.431372549019606","14","140"
"233","82268.60784313726","56679","129545","55.92156862745098","15","403"
"234","82402.13725490196","56843","129660","55.372549019607845","12","408"
"235","82514.98039215687","57032","129811","46.11764705882353","19","104"
"236","82759.43137254902","57165","130362","104.62745098039215","14","1325"
"237","82874.33333333333","57219","130441","47.05882352941177","18","384"
"238","82996.27450980392","57356","130499","50.21568627450981","14","326"
"239","83146.49019607843","57448","130796","62.80392156862745","16","347"
"240","83270.64705882352","57525","130990","51.13725490196079","13","187"
"241","83387.25490196078","57595","131253","47.84313725490196","19","168"
"242","83545","57820","131359","66.09803921568627","16","937"
"243","83662.05882352941","57923","131482","48.01960784313726","18","107"
"244","83764.70588235294","57982","131597","41.627450980392155","16","119"
"245","83865.70588235294","58087","131667","40.90196078431372","13","88"
"246","83973.66666666667","58157","131930","43.98039215686274","13","113"
"247","84133.72549019608","58258","132038","67.15686274509804","13","421"
"248","84254.09803921569","58339","132130","49.470588235294116","12","150"
"249","84364.4705882353","58492","132286","45.07843137254902","21","91"
"250","84493.92156862745","58542","132378","53.549019607843135","16","447"
"251","84645.11764705883","58594","132529","63.15686274509804","12","701"
"252","84802.05882352941","58679","132585","65.76470588235294","19","1142"
"253","84948.37254901961","58726","132682","61","15","453"
"254","85054.66666666667","58803","132796","43.27450980392157","13","119"
"255","85157.5294117647","58906","132853","41.72549019607843","16","103"
"256","85272.49019607843","59066","133035","47.05882352941177","12","134"
"257","85388.2156862745","59127","133147","47.431372549019606","13","196"
"258","85501.09803921569","59194","133260","46.19607843137255","16","126"
"259","85602.25490196078","59298","133438","40.94117647058823","13","117"
"260","85713.49019607843","59356","133510","45.431372549019606","16","152"
"261","85841.39215686274","59437","133894","52.90196078431372","14","640"
"262","85969.29411764706","59568","134038","52.8235294117647","14","505"
"263","86105.92156862745","59629","134155","56.705882352941174","14","285"
"264","86269.86274509804","59766","134236","68.88235294117646","18","577"
"265","86439.09803921569","59894","134360","71.19607843137256","14","1114"
"266","86554.76470588235","59968","134518","47.411764705882355","23","240"
"267","86668.88235294117","60067","134659","46.72549019607843","13","127"
"268","86777.17647058824","60169","134821","44.11764705882353","16","126"
"269","86879.50980392157","60223","134905","41.470588235294116","14","77"
"270","86984.1568627451","60295","134981","42.529411764705884","14","160"
"271","87096.54901960785","60403","135134","45.96078431372549","14","385"
"272","87212.88235294117","60605","135190","47.68627450980392","12","426"
"273","87319.88235294117","60706","135267","43.549019607843135","13","278"
"274","87440.45098039215","60765","135411","49.549019607843135","13","456"
"275","87526.94117647059","60819","135503","34.450980392156865","17","73"
"276","87647.8431372549","60963","135571","49.76470588235294","18","228"
"277","87735.35294117648","61044","135715","34.90196078431372","14","87"
"278","87870.17647058824","61114","135793","55.92156862745098","14","905"
"279","87988.07843137255","61226","135931","48.411764705882355","16","344"
"280","88096.05882352941","61359","136021","43.98039215686274","18","186"
"281","88210.94117647059","61431","136241","47.05882352941177","14","168"
"282","88312.50980392157","61651","136349","41.13725490196079","17","219"
"283","88397.54901960785","61708","136426","33.8235294117647","17","75"
"284","88588.45098039215","61897","136678","80.82352941176471","16","2000"
"285","88699.90196078431","61960","136813","45.509803921568626","13","560"
"286","88809.01960784313","62146","136932","44.490196078431374","13","246"
"287","88909.7843137255","62243","137024","40.78431372549019","14","106"
"288","89041.62745098039","62335","137157","54.627450980392155","15","267"
"289","89132.41176470589","62459","137281","36.35294117647059","14","79"
"290","89256.56862745098","62563","137393","51.19607843137255","17","255"
"291","89361.07843137255","62646","137438","42.431372549019606","16","253"
"292","89493.1568627451","62749","137593","54.72549019607843","13","700"
"293","89589.56862745098","62902","137717","38.86274509803921","12","83"
